,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
Cs3Cr2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,52.00,1.66,64.30,652.90,1590.60,2987.00,166.00,127.00,0.62,7190.00,448.00,339.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.09,1.08,2.10,0.34,3.59,3.59,3.59
Cs3Cr2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,52.00,1.66,64.30,652.90,1590.60,2987.00,166.00,127.00,0.62,7190.00,448.00,339.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.04,1.02,1.44,0.28,1.46,1.46,1.46
Cs3Fe2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,55.85,1.83,15.70,762.50,1561.90,2957.00,156.00,125.00,0.78,7874.00,449.00,347.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.11,0.99,1.66,0.40,2.61,2.61,2.61
Cs3Fe2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,55.85,1.83,15.70,762.50,1561.90,2957.00,156.00,125.00,0.78,7874.00,449.00,347.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.13,1.01,1.97,0.43,3.05,3.05,3.05
Cs3Ga2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.21,1.05,1.45,0.32,1.47,1.47,1.47
Cs3Ga2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.24,1.07,1.72,0.34,2.83,2.83,2.83
Cs3In2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.11,0.98,1.66,0.41,1.83,1.83,1.83
Cs3In2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.13,1.00,1.97,0.44,3.16,3.16,3.16
Cs3In2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.08,0.96,1.36,0.36,0.38,0.38,0.38
Cs3Sb2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.22,1.00,1.41,0.39,2.37,2.37,2.37
Cs3Sb2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.26,1.02,1.68,0.42,2.77,2.77,2.77
Cs3Sb2l9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.18,0.97,1.16,0.35,1.77,1.77,1.77
Cs3Sc2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,44.96,1.36,18.10,633.10,1235.00,2388.60,184.00,144.00,0.75,2985.00,567.00,318.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.00,1.00,1.96,0.38,4.68,4.68,4.68
Cs3Sc2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,44.96,1.36,18.10,633.10,1235.00,2388.60,184.00,144.00,0.75,2985.00,567.00,318.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.01,1.02,2.33,0.41,5.69,5.69,5.69
Cs3Sc2l9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,44.96,1.36,18.10,633.10,1235.00,2388.60,184.00,144.00,0.75,2985.00,567.00,318.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.98,0.98,1.60,0.34,3.42,3.42,3.42
Cs3Ti2l9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.00,1.03,1.53,0.28,1.79,1.79,1.79
Cs3V2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.05,1.09,1.82,0.28,2.19,2.19,2.19
Cs3V2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.07,1.11,2.16,0.30,2.55,2.55,2.55
Cs3W2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,183.84,2.36,78.60,770.00,1700.00,2510.00,193.00,146.00,0.60,19250.00,132.00,800.00,6.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.97,1.06,2.05,0.31,1.62,1.62,1.62
Cs3W2C19,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,183.84,2.36,78.60,770.00,1700.00,2510.00,193.00,146.00,0.60,19250.00,132.00,800.00,6.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.98,1.08,2.44,0.33,1.60,1.60,1.60
Cu3Ga2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.24,1.07,1.72,0.34,1.80,1.80,1.80
K3Ga2Br9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.04,0.99,1.45,0.32,1.32,1.32,1.32
K3Ga2Cl9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.06,1.00,1.72,0.34,2.74,2.74,2.74
K3In2BI9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.95,0.92,1.66,0.41,1.74,1.74,1.74
K3In2Cl9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.97,0.93,1.97,0.44,3.14,3.14,3.14
K3In2I9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.93,0.91,1.36,0.36,0.27,0.27,0.27
K3Sb2Br9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.05,0.94,1.41,0.39,2.29,2.29,2.29
K3Sb2Cl9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.07,0.95,1.68,0.42,2.64,2.64,2.64
K3Sb2I9,3,2,9,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.02,0.92,1.16,0.35,1.68,1.68,1.68
Na3Ga2Br9,3,2,9,22.99,0.93,52.80,495.80,4562.00,6910.30,190.00,154.00,1.39,968.00,1230.00,97.70,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.87,0.92,1.45,0.32,1.49,1.49,1.49
Na3Ga2Cl9,3,2,9,22.99,0.93,52.80,495.80,4562.00,6910.30,190.00,154.00,1.39,968.00,1230.00,97.70,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.88,0.93,1.72,0.34,2.68,2.68,2.68
Na3In2Br9,3,2,9,22.99,0.93,52.80,495.80,4562.00,6910.30,190.00,154.00,1.39,968.00,1230.00,97.70,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.80,0.86,1.66,0.41,1.64,1.64,1.64
Na3In2I9,3,2,9,22.99,0.93,52.80,495.80,4562.00,6910.30,190.00,154.00,1.39,968.00,1230.00,97.70,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.80,0.85,1.36,0.36,0.14,0.14,0.14
Rb3Ga2Br9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.10,1.01,1.45,0.32,1.38,1.38,1.38
Rb3Ga2Cl9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.13,1.03,1.72,0.34,2.77,2.77,2.77
Rb3In2Br9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.02,0.94,1.66,0.41,1.77,1.77,1.77
Rb31n2Cl9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.04,0.96,1.97,0.44,3.14,3.14,3.14
Rb3In2I9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.99,0.92,1.36,0.36,0.32,0.32,0.32
Rb3Sb2Br9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.12,0.96,1.41,0.39,2.32,2.32,2.32
Rb3Sb2Cl9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.15,0.97,1.68,0.42,2.70,2.70,2.70
Rb3Sb2I9,3,2,9,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,121.76,2.05,103.20,834.00,1594.90,2440.00,133.00,138.00,0.76,6697.00,207.00,68.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.08,0.94,1.16,0.35,1.71,1.71,1.71
Cs4BaBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.80,0.82,2.69,0.69,5.38,5.38,5.38
Cs4BaCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.80,0.83,3.20,0.75,6.28,6.28,6.28
Cs4Bal6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,137.33,0.89,13.95,502.90,965.20,3600.00,253.00,198.00,1.35,3510.00,205.00,140.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.79,0.81,2.20,0.61,4.58,4.58,4.58
Cs4BeBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.35,1.13,1.19,0.23,4.68,4.68,4.68
Cs4BeCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.40,1.15,1.42,0.25,5.57,5.57,5.57
Cs4Bel6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,9.01,1.57,-48.00,899.50,1757.10,14848.70,112.00,90.00,0.45,1848.00,1820.00,297.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.29,1.09,0.97,0.20,3.63,3.63,3.63
Cs4CaBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.96,0.92,2.06,0.51,5.39,5.39,5.39
Cs4CaCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.98,0.93,2.46,0.55,6.31,6.31,6.31
Cs4CaI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,40.08,1.00,2.37,589.80,1145.40,4912.40,194.00,174.00,1.00,1550.00,631.00,155.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.95,0.90,1.69,0.45,4.57,4.57,4.57
Cs4CdBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.93,1.71,0.48,4.38,4.38,4.38
Cs4CdCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.11,0.95,2.04,0.52,5.39,5.39,5.39
Cs4Cdl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,112.41,1.69,-68.00,867.80,1631.40,3616.00,161.00,148.00,0.95,7140.00,230.00,119.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.06,0.92,1.40,0.43,3.31,3.31,3.31
Cs4CrBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,52.00,1.66,64.30,652.90,1590.60,2987.00,166.00,127.00,0.62,7190.00,448.00,339.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.07,1.05,1.77,0.31,2.66,2.66,2.66
Cs4CuBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,63.55,1.90,118.40,745.50,1957.90,3555.00,145.00,138.00,0.73,8960.00,384.40,300.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.01,1.54,0.37,1.25,1.25,1.25
cs4cuCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,63.55,1.90,118.40,745.50,1957.90,3555.00,145.00,138.00,0.73,8960.00,384.40,300.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.03,1.84,0.40,2.33,2.33,2.33
Cs4CuI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,63.55,1.90,118.40,745.50,1957.90,3555.00,145.00,138.00,0.73,8960.00,384.40,300.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,0.98,1.26,0.33,0.35,0.35,0.35
Cs4GeBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.27,1.01,1.33,0.37,4.43,4.43,4.43
Cs4GeCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.31,1.03,1.58,0.40,4.84,4.84,4.84
Cs4InBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.11,0.98,1.66,0.41,0.59,0.59,0.59
Cs4InCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.13,1.00,1.97,0.44,0.74,0.74,0.74
Cs4InI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.82,1.78,28.90,558.30,1820.70,2704.00,156.00,144.00,0.80,7310.00,233.00,230.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.08,0.96,1.36,0.36,0.37,0.37,0.37
Cs4MgBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.01,1.54,0.37,5.05,5.05,5.05
Cs4MgCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.03,1.84,0.40,5.99,5.99,5.99
Cs4MgI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,0.99,1.26,0.33,4.10,4.10,4.10
Cs4MnBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.97,1.71,0.42,3.87,3.87,3.87
Cs4MnCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.11,0.99,2.04,0.46,4.03,4.03,4.03
