,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
CsSiBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.35,1.15,1.18,0.20,0.08,0.08,0.08
CsSiCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.40,1.18,1.41,0.22,0.30,0.30,0.30
CsSnBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.02,1.54,0.35,0.62,0.62,0.62
CsSnCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.04,1.84,0.38,1.08,1.08,1.08
CsSrBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.89,0.86,2.33,0.60,5.35,5.35,5.35
CsSrCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.89,0.87,2.77,0.65,6.39,6.39,6.39
CsSrI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.87,0.85,1.90,0.54,4.45,4.45,4.45
CsVBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.05,1.09,1.82,0.28,2.79,2.79,2.79
CsVCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.07,1.11,2.16,0.30,2.87,2.87,2.87
CsVI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.02,1.05,1.49,0.25,2.66,2.66,2.66
