,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
Cs2HfBr6,A2BX6,2,1,6,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,79.90,947.30,0.92,0.36,4.49
Cs2HfCl6,A2BX6,2,1,6,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,35.45,478.20,0.93,0.39,5.68
Cs2HfI6,A2BX6,2,1,6,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,126.90,429.00,0.90,0.32,3.05
Rb2TeCl6,A2BX6,2,1,6,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,126.90,429.00,1.13,0.44,3.29
Cs2NaInBr6,A2BB'X6,2,2,6,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,79.90,947.30,1.04,0.46,2.97
Cs2NaInCl6,A2BB'X6,2,2,6,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,1.06,0.50,4.49
Cs2NaSbBr6,A2BB'X6,2,2,6,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,79.90,947.30,1.08,0.45,3.21
Cs2NaSbCl6,A2BB'X6,2,2,6,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,35.45,478.20,1.11,0.49,3.90
Cs2AgAsBr6,A2BB'X6,2,2,6,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,79.90,947.30,1.19,0.44,1.64
Cs2AgAsCl6,A2BB'X6,2,2,6,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,35.45,478.20,1.23,0.48,2.30
Cs2AgAsI6,A2BB'X6,2,2,6,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,126.90,429.00,1.15,0.39,0.92
Cs2AgInCl6,A2BB'X6,2,2,6,111.34,1.86,77.25,644.65,1945.35,3032.50,8900.00,234.00,242.50,35.45,478.20,1.12,0.54,2.46
Cs2AgSbBr6,A2BB'X6,2,2,6,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,79.90,947.30,1.15,0.49,1.67
Cs2AgSbCl6,A2BB'X6,2,2,6,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,35.45,478.20,1.17,0.53,2.33
Cs2AgSbI6,A2BB'X6,2,2,6,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,126.90,429.00,1.11,0.43,0.95
Cs2CsGaBr6,A2BB'X6,2,2,6,101.31,1.30,37.20,477.25,2106.80,3181.50,3891.50,306.50,160.50,79.90,947.30,0.89,0.58,3.63
Cs2CsInCl6,A2BB'X6,2,2,6,123.86,1.29,37.20,467.00,2027.50,3052.00,4594.50,237.50,147.50,35.45,478.20,0.87,0.68,5.31
Cs2RbInCl6,A2BB'X6,2,2,6,100.14,1.30,37.90,480.65,2226.85,3282.00,4421.00,298.50,151.00,35.45,478.20,0.92,0.64,5.17
Cs2CuAsBr6,A2BB'X6,2,2,6,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,79.90,947.30,1.24,0.33,1.56
