,Band gap (eV),Structure,A-site,B-site,B'-site,X-site,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR)
Cs2TeBr6,2.91,A2BX6,Cs,Te,,Br,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,79.90,947.30,1.28,0.49
Cs2TeCl6,3.66,A2BX6,Cs,Te,,Cl,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,35.45,478.20,1.32,0.54
Cs2TeI6,2.17,A2BX6,Cs,Te,,I,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,126.90,429.00,1.23,0.44
Cs2TiBr6,2.72,A2BX6,Cs,Ti,,Br,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,79.90,947.30,1.03,0.31
Cs2TiCl6,3.53,A2BX6,Cs,Ti,,Cl,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,35.45,478.20,1.05,0.33
Cs2TiI6,1.86,A2BX6,Cs,Ti,,I,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28
Cs2ZrBr6,4.03,A2BX6,Cs,Zr,,Br,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,79.90,947.30,0.92,0.37
Cs2ZrCl6,5.11,A2BX6,Cs,Zr,,Cl,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,35.45,478.20,0.94,0.40
Cs2ZrI6,2.80,A2BX6,Cs,Zr,,I,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,126.90,429.00,0.91,0.33
Cs2GeBr6,2.20,A2BX6,Cs,Ge,,Br,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37
Cs2GeCl6,3.76,A2BX6,Cs,Ge,,Cl,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40
Cs2HfBr6,4.45,A2BX6,Cs,Hf,,Br,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,79.90,947.30,0.92,0.36
Cs2HfCl6,5.57,A2BX6,Cs,Hf,,Cl,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,35.45,478.20,0.93,0.39
Cs2HfI6,3.14,A2BX6,Cs,Hf,,I,1.01,2.20,72.80,1312.00,1440.00,2250.00,0.09,144.00,630.00,126.90,429.00,0.90,0.32
Rb2TeCl6,3.53,A2BX6,Rb,Te,,Cl,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,126.90,429.00,1.13,0.44
Cs2NaInBr6,2.97,A2BB'X6,Cs,Na,In,Br,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,79.90,947.30,1.04,0.46
Cs2NaInCl6,4.49,A2BB'X6,Cs,Na,In,Cl,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,1.06,0.50
Cs2NaSbBr6,3.21,A2BB'X6,Cs,Na,Sb,Br,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,79.90,947.30,1.08,0.45
Cs2NaSbCl6,3.90,A2BB'X6,Cs,Na,Sb,Cl,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,35.45,478.20,1.11,0.49
Cs2AgAsBr6,1.64,A2BB'X6,Cs,Ag,As,Br,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,79.90,947.30,1.19,0.44
Cs2AgAsCl6,2.30,A2BB'X6,Cs,Ag,As,Cl,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,35.45,478.20,1.23,0.48
Cs2AgAsI6,0.92,A2BB'X6,Cs,Ag,As,I,91.39,2.06,101.80,839.00,1934.00,3048.00,8108.50,281.50,143.70,126.90,429.00,1.15,0.39
Cs2AgInCl6,2.46,A2BB'X6,Cs,Ag,In,Cl,111.34,1.86,77.25,644.65,1945.35,3032.50,8900.00,234.00,242.50,35.45,478.20,1.12,0.54
Cs2AgSbBr6,1.67,A2BB'X6,Cs,Ag,Sb,Br,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,79.90,947.30,1.15,0.49
Cs2AgSbCl6,2.33,A2BB'X6,Cs,Ag,Sb,Cl,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,35.45,478.20,1.17,0.53
Cs2AgSbI6,0.95,A2BB'X6,Cs,Ag,Sb,I,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,126.90,429.00,1.11,0.43
Cs2CsGaBr6,3.63,A2BB'X6,Cs,Cs,Ga,Br,101.31,1.30,37.20,477.25,2106.80,3181.50,3891.50,306.50,160.50,79.90,947.30,0.89,0.58
Cs2CsInCl6,5.31,A2BB'X6,Cs,Cs,In,Cl,123.86,1.29,37.20,467.00,2027.50,3052.00,4594.50,237.50,147.50,35.45,478.20,0.87,0.68
Cs2RbInCl6,5.17,A2BB'X6,Cs,Rb,In,Cl,100.14,1.30,37.90,480.65,2226.85,3282.00,4421.00,298.50,151.00,35.45,478.20,0.92,0.64
Cs2CuAsBr6,1.56,A2BB'X6,Cs,Cu,As,Br,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,79.90,947.30,1.24,0.33
Cs2CuAsCl6,2.18,A2BB'X6,Cs,Cu,As,Cl,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,35.45,478.20,1.28,0.36
Cs2CuAsI6,0.57,A2BB'X6,Cs,Cu,As,I,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,126.90,429.00,1.19,0.30
Cs2CuBiBr6,1.94,A2BB'X6,Cs,Cu,Bi,Br,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,79.90,947.30,1.16,0.45
Cs2CuBiCl6,2.51,A2BB'X6,Cs,Cu,Bi,Cl,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,35.45,478.20,1.20,0.49
Cs2CuBiI6,1.23,A2BB'X6,Cs,Cu,Bi,I,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,126.90,429.00,1.13,0.40
Cs2CuSbBr6,1.59,A2BB'X6,Cs,Cu,Sb,Br,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,79.90,947.30,1.19,0.38
Cs2CuSbCl6,2.22,A2BB'X6,Cs,Cu,Sb,Cl,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,35.45,478.20,1.22,0.41
Cs2CuSbI6,0.89,A2BB'X6,Cs,Cu,Sb,I,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,126.90,429.00,1.15,0.34
Cs2KInBr6,3.61,A2BB'X6,Cs,K,In,Br,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,79.90,947.30,0.94,0.56
Cs2KInCl6,5.07,A2BB'X6,Cs,K,In,Cl,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,35.45,478.20,0.96,0.60
Cs2KSbCl6,4.17,A2BB'X6,Cs,K,Sb,Cl,80.43,1.44,75.80,626.40,2323.45,3430.00,3776.50,482.00,72.45,35.45,478.20,1.00,0.59
K2NaInCl6,4.60,A2BB'X6,K,Na,In,Cl,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,0.90,0.50
Rb2AgInCl6,2.42,A2BB'X6,Rb,Ag,In,Cl,111.34,1.86,77.25,644.65,1945.35,3032.50,8900.00,234.00,242.50,35.45,478.20,1.02,0.54
Rb2AgSbCl6,2.27,A2BB'X6,Rb,Ag,Sb,Cl,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,35.45,478.20,1.07,0.53
Rb2KInCl6,5.12,A2BB'X6,Rb,K,In,Cl,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,35.45,478.20,0.87,0.60
Rb2NaInBr6,3.00,A2BB'X6,Rb,Na,In,Br,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,79.90,947.30,0.95,0.46
Rb2NaInCl6,4.56,A2BB'X6,Rb,Na,In,Cl,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,0.97,0.50
Rb2NaSbCl6,3.90,A2BB'X6,Rb,Na,Sb,Cl,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,35.45,478.20,1.01,0.49
Cs3Al2Br9,2.46,A3B2X9,Cs,Al,,Br,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,79.90,947.30,1.31,0.27
Cs3Al2Cl9,4.01,A3B2X9,Cs,Al,,Cl,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,35.45,478.20,1.35,0.30
Cs3Al2I9,0.87,A3B2X9,Cs,Al,,I,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,126.90,429.00,1.25,0.24
Cs3As2Br9,2.62,A3B2X9,Cs,As,,Br,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,79.90,947.30,1.33,0.30
Cs3As2Cl9,3.28,A3B2X9,Cs,As,,Cl,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,35.45,478.20,1.38,0.32
Cs3As2I9,1.81,A3B2X9,Cs,As,,I,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,126.90,429.00,1.28,0.26
Cs3B2Br9,1.90,A3B2X9,Cs,B,,Br,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,79.90,947.30,1.53,0.14
Cs3B2Cl9,2.96,A3B2X9,Cs,B,,Cl,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,35.45,478.20,1.61,0.15
Cs3B2I9,0.37,A3B2X9,Cs,B,,I,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,126.90,429.00,1.45,0.12
Cs3Bi2Br9,2.51,A3B2X9,Cs,Bi,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.21,0.32
Ag3Ga2Br9,0.86,A3B2X9,Ag,Ga,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34
Ag3Ga2Cl9,2.33,A3B2X9,Ag,Ga,,Cl,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,126.90,429.00,1.16,0.28
Cs3Bi2Cl9,3.01,A3B2X9,Cs,Bi,,Cl,208.98,2.02,91.20,703.00,1610.00,2466.00,9780.00,122.00,160.00,35.45,478.20,1.20,0.57
Cs3Bi2I9,1.83,A3B2X9,Cs,Bi,,I,208.98,2.02,91.20,703.00,1610.00,2466.00,9780.00,122.00,160.00,126.90,429.00,1.13,0.47
Cs3Cr2Br9,2.72,A3B2X9,Cs,Cr,,Br,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,79.90,947.30,1.07,0.31
Cs3Cr2Cl9,3.59,A3B2X9,Cs,Cr,,Cl,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,35.45,478.20,1.09,0.34
Cs3Cr2I9,1.46,A3B2X9,Cs,Cr,,I,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,126.90,429.00,1.04,0.28
Cs3Fe2Br9,2.61,A3B2X9,Cs,Fe,,Br,55.85,1.83,15.70,762.50,1561.90,2957.00,7874.00,449.00,347.00,79.90,947.30,1.11,0.40
